Web Search interest: nba
Worldwide; 2004 - present

Interest over time
Week,nba
2008-08-31 - 2008-09-06,14
2008-09-07 - 2008-09-13,14
2008-09-14 - 2008-09-20,14
2008-09-21 - 2008-09-27,14
2008-09-28 - 2008-10-04,17
2008-10-05 - 2008-10-11,24
2008-10-12 - 2008-10-18,23
2008-10-19 - 2008-10-25,23
2008-10-26 - 2008-11-01,33
2008-11-02 - 2008-11-08,36
2008-11-09 - 2008-11-15,36
2008-11-16 - 2008-11-22,32
2008-11-23 - 2008-11-29,31
2008-11-30 - 2008-12-06,31
2008-12-07 - 2008-12-13,33
2008-12-14 - 2008-12-20,33
2008-12-21 - 2008-12-27,41
2008-12-28 - 2009-01-03,37
2009-01-04 - 2009-01-10,32
2009-01-11 - 2009-01-17,33
2009-01-18 - 2009-01-24,34
2009-01-25 - 2009-01-31,31
2009-02-01 - 2009-02-07,33
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,46
2009-02-22 - 2009-02-28,34
2009-03-01 - 2009-03-07,34
2009-03-08 - 2009-03-14,32
2009-03-15 - 2009-03-21,32
2009-03-22 - 2009-03-28,31
2009-03-29 - 2009-04-04,32
2009-04-05 - 2009-04-11,35
2009-04-12 - 2009-04-18,38
2009-04-19 - 2009-04-25,47
2009-04-26 - 2009-05-02,47
2009-05-03 - 2009-05-09,51
2009-05-10 - 2009-05-16,48
2009-05-17 - 2009-05-23,50
2009-05-24 - 2009-05-30,54
2009-05-31 - 2009-06-06,44
2009-06-07 - 2009-06-13,48
2009-06-14 - 2009-06-20,36
2009-06-21 - 2009-06-27,38
2009-06-28 - 2009-07-04,25
2009-07-05 - 2009-07-11,23
2009-07-12 - 2009-07-18,21
2009-07-19 - 2009-07-25,18
2009-07-26 - 2009-08-01,17
2009-08-02 - 2009-08-08,15
2009-08-09 - 2009-08-15,15
2009-08-16 - 2009-08-22,14
2009-08-23 - 2009-08-29,14
2009-08-30 - 2009-09-05,13
2009-09-06 - 2009-09-12,14
2009-09-13 - 2009-09-19,14
2009-09-20 - 2009-09-26,14
2009-09-27 - 2009-10-03,16
2009-10-04 - 2009-10-10,22
2009-10-11 - 2009-10-17,21
2009-10-18 - 2009-10-24,20
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,30
2009-11-15 - 2009-11-21,30
2009-11-22 - 2009-11-28,28
2009-11-29 - 2009-12-05,28
2009-12-06 - 2009-12-12,29
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,34
2009-12-27 - 2010-01-02,35
2010-01-03 - 2010-01-09,30
2010-01-10 - 2010-01-16,29
2010-01-17 - 2010-01-23,29
2010-01-24 - 2010-01-30,30
2010-01-31 - 2010-02-06,30
2010-02-07 - 2010-02-13,32
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,30
2010-02-28 - 2010-03-06,27
2010-03-07 - 2010-03-13,26
2010-03-14 - 2010-03-20,26
2010-03-21 - 2010-03-27,26
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,28
2010-04-11 - 2010-04-17,30
2010-04-18 - 2010-04-24,37
2010-04-25 - 2010-05-01,40
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,39
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,42
2010-06-06 - 2010-06-12,49
2010-06-13 - 2010-06-19,66
2010-06-20 - 2010-06-26,32
2010-06-27 - 2010-07-03,25
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,21
2010-07-25 - 2010-07-31,19
2010-08-01 - 2010-08-07,18
2010-08-08 - 2010-08-14,17
2010-08-15 - 2010-08-21,16
2010-08-22 - 2010-08-28,15
2010-08-29 - 2010-09-04,14
2010-09-05 - 2010-09-11,14
2010-09-12 - 2010-09-18,15
2010-09-19 - 2010-09-25,15
2010-09-26 - 2010-10-02,17
2010-10-03 - 2010-10-09,27
2010-10-10 - 2010-10-16,24
2010-10-17 - 2010-10-23,23
2010-10-24 - 2010-10-30,38
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,33
2010-11-14 - 2010-11-20,31
2010-11-21 - 2010-11-27,31
2010-11-28 - 2010-12-04,31
2010-12-05 - 2010-12-11,30
2010-12-12 - 2010-12-18,32
2010-12-19 - 2010-12-25,38
2010-12-26 - 2011-01-01,37
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,32
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,39
2011-02-20 - 2011-02-26,57
2011-02-27 - 2011-03-05,36
2011-03-06 - 2011-03-12,37
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,33
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,59
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,65
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,39
2011-06-26 - 2011-07-02,22
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,14
2011-07-17 - 2011-07-23,14
2011-07-24 - 2011-07-30,13
2011-07-31 - 2011-08-06,12
2011-08-07 - 2011-08-13,11
2011-08-14 - 2011-08-20,11
2011-08-21 - 2011-08-27,11
2011-08-28 - 2011-09-03,11
2011-09-04 - 2011-09-10,11
2011-09-11 - 2011-09-17,11
2011-09-18 - 2011-09-24,11
2011-09-25 - 2011-10-01,12
2011-10-02 - 2011-10-08,18
2011-10-09 - 2011-10-15,15
2011-10-16 - 2011-10-22,14
2011-10-23 - 2011-10-29,14
2011-10-30 - 2011-11-05,13
2011-11-06 - 2011-11-12,15
2011-11-13 - 2011-11-19,16
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,22
2011-12-04 - 2011-12-10,25
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,33
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,44
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,38
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,51
2012-02-19 - 2012-02-25,58
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,40
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,40
2012-04-15 - 2012-04-21,40
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,57
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,60
2012-05-20 - 2012-05-26,61
2012-05-27 - 2012-06-02,66
2012-06-03 - 2012-06-09,71
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,77
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,32
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,19
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,16
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,13
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,23
2012-10-07 - 2012-10-13,22
2012-10-14 - 2012-10-20,21
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,37
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,44
2013-02-17 - 2013-02-23,51
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,40
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,40
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,43
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,45
2013-04-21 - 2013-04-27,55
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,51
2013-06-02 - 2013-06-08,62
2013-06-09 - 2013-06-15,66
2013-06-16 - 2013-06-22,100
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,23
2013-07-21 - 2013-07-27,18
2013-07-28 - 2013-08-03,17
2013-08-04 - 2013-08-10,16
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,14
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,11
2013-09-22 - 2013-09-28,14
2013-09-29 - 2013-10-05,19
2013-10-06 - 2013-10-12,23
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,22
2013-10-27 - 2013-11-02,40
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,35
2013-12-01 - 2013-12-07,33
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,36
2013-12-22 - 2013-12-28,44
2013-12-29 - 2014-01-04,38
2014-01-05 - 2014-01-11,38
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,38
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,35
2014-03-09 - 2014-03-15,34
2014-03-16 - 2014-03-22,33
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,35
2014-04-06 - 2014-04-12,37
2014-04-13 - 2014-04-19,45
2014-04-20 - 2014-04-26,64
2014-04-27 - 2014-05-03,80
2014-05-04 - 2014-05-10,67
2014-05-11 - 2014-05-17,63
2014-05-18 - 2014-05-24,62
2014-05-25 - 2014-05-31,59
2014-06-01 - 2014-06-07,52
2014-06-08 - 2014-06-14,67
2014-06-15 - 2014-06-21,47
2014-06-22 - 2014-06-28,45
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,34
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,18
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,24
2014-10-19 - 2014-10-25,25
2014-10-26 - 2014-11-01,42
2014-11-02 - 2014-11-08,40
2014-11-09 - 2014-11-15,39
2014-11-16 - 2014-11-22,37
2014-11-23 - 2014-11-29,34
2014-11-30 - 2014-12-06,38
2014-12-07 - 2014-12-13,39
2014-12-14 - 2014-12-20,45
2014-12-21 - 2014-12-27,47
2014-12-28 - 2015-01-03,41
2015-01-04 - 2015-01-10,40
2015-01-11 - 2015-01-17,38
2015-01-18 - 2015-01-24,40
2015-01-25 - 2015-01-31,40
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,41
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,38
2015-03-01 - 2015-03-07,36
2015-03-08 - 2015-03-14,35
2015-03-15 - 2015-03-21,35
2015-03-22 - 2015-03-28,34
2015-03-29 - 2015-04-04,38
2015-04-05 - 2015-04-11,41
2015-04-12 - 2015-04-18,51
2015-04-19 - 2015-04-25,67
2015-04-26 - 2015-05-02,60
2015-05-03 - 2015-05-09,60
2015-05-10 - 2015-05-16,68
2015-05-17 - 2015-05-23,64
2015-05-24 - 2015-05-30,60
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,91
2015-06-14 - 2015-06-20,83
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,27


Top regions for nba
Region,nba
Marshall Islands,100
Philippines,51
Bahamas,32
Turks & Caicos Islands,30
Dominican Republic,29
British Virgin Islands,27
Puerto Rico,26
Sint Maarten,26
Anguilla,25
Venezuela,25
Mongolia,23
China,22
Northern Mariana Islands,21
Grenada,20
St. Kitts & Nevis,19
Belize,19
Guam,17
Taiwan,17
United States,17
U.S. Virgin Islands,15
Dominica,15
Haiti,14
Antigua & Barbuda,14
St. Lucia,12
Canada,11
Australia,11
Macau,11
Hong Kong,11
Cayman Islands,10
Guyana,9
Barbados,9
St. Vincent & Grenadines,9
Curaçao,9
Aruba,8
Lithuania,8
Croatia,8
Bermuda,8
Jamaica,8
Suriname,8
Serbia,7
Macedonia (FYROM),7
Madagascar,7
Bosnia & Herzegovina,7
Singapore,7
Spain,7
Montenegro,7
Slovenia,7
New Zealand,7
Trinidad & Tobago,6
Greece,6
Cape Verde,6
Angola,6
Israel,5
Italy,5
Iceland,5
Senegal,4
Gabon,4
Turkey,4
Guadeloupe,4
Brunei,4
France,4
Portugal,4
French Guiana,4
Qatar,4
Estonia,3
Georgia,3
Cameroon,3
Martinique,3
Nicaragua,3
Andorra,3
Rwanda,3
Panama,3
Mozambique,3
Latvia,3
Poland,3
Lebanon,3
United Arab Emirates,3
Malaysia,3
Cuba,3
Ghana,3
Côte d’Ivoire,3
French Polynesia,3
Uruguay,3
Fiji,3
Argentina,3
Uganda,3
Kosovo,3
Monaco,3
Belgium,2
Luxembourg,2
Costa Rica,2
United Kingdom,2
Ireland,2
Germany,2
Mexico,2
Botswana,2
South Korea,2
Bahrain,2
Cyprus,2
Kenya,2
New Caledonia,2
Zambia,2
El Salvador,2
Zimbabwe,2
St. Helena,2
Laos,2
Hungary,2
Congo (DRC),2
Malawi,2
Japan,2
Réunion,2
Honduras,2
Afghanistan,2
Denmark,2
Switzerland,2
Kuwait,2
Guatemala,2
Namibia,2
Chile,2
Brazil,2
Cambodia,2
Bolivia,2
Mali,2
Tanzania,1
Albania,1
Nigeria,1
Thailand,1
Paraguay,1
Indonesia,1
Finland,1
Colombia,1
Netherlands,1
Malta,1
Saudi Arabia,1
Czech Republic,1
Bulgaria,1
Austria,1
Slovakia,1
Nepal,1
Norway,1
Sweden,1
Romania,1
Ecuador,1
Ethiopia,1
Mauritius,1
Tunisia,1
South Africa,1
Peru,1
Morocco,1
Algeria,1
India,1
Oman,1
Sri Lanka,1
Russia,1
Ukraine,1
Armenia,1
Syria,1
Iran,1
Jordan,1
Belarus,1
Myanmar (Burma),1
Kazakhstan,1
Azerbaijan,1
Kyrgyzstan,1
Moldova,1


Top cities for nba
City,nba
Quezon City (Philippines),100
Manila (Philippines),94
Makati City (Philippines),88
Maracaibo (Venezuela),64
New York (United States),45
Los Angeles (United States),42
San Antonio (United States),39
Chicago (United States),38
Caracas (Venezuela),38
Toronto (Canada),35
Houston (United States),32
Beijing (China),31
Atlanta (United States),31
San Francisco (United States),30
Dallas (United States),30



Top searches for nba
nba draft,100
nba live,70
espn nba,65
espn,65
nba scores,60
nba game,60
nba finals,55
nba playoffs,55
nba basketball,45
nba schedule,45
nba standings,45
nba 2k14,35
nba rumors,35
nba games,30
nba 2k13,30
nfl,30
nba all star,30
nba playoff,30
yahoo nba,30
nhl,25
nba mock draft,25
nba tv,25
nba 2k12,25
nba 2k15,25
mlb,20
nba news,20
resultados nba,20
lakers,20
nba 直播,20
nba 2k11,20
nba score,15
nba store,15
nba teams,15
nba streaming,15
nba stats,15
nba stream,15
nba trade rumors,15
lebron james,10
fantasy nba,10
nba mvp,10
nba draft 2014,10
nba 2k10,10
miami heat,10
2013 nba draft,10
nba jam,10
nba league pass,10
2012 nba draft,10
nba live stream,10
nba live streaming,10
nba draft 2015,10



Rising searches for nba
nba 2k13,Breakout
nba 2k14,Breakout
nba standings,+750%
nba scores,+550%
nba playoffs,+250%
nba schedule,+200%
nba finals,+150%
nba playoff,+130%
yahoo nba,+70%
espn,+50%



